,time_utc,18_evening,12_evening,6_evening,18_morning,12_morning,6_morning
2023-06-28,2023-06-28,2460123.769819899,2460123.7488821503,2460123.728643185,2460124.0984997554,2460124.1194307324,2460124.139669042
2023-06-29,2023-06-29,2460124.7698689103,2460124.7489449945,2460124.7287170147,2460125.098735248,2460125.1196529088,2460125.1398801943
2023-06-30,2023-06-30,2460125.7699026405,2460125.7489943733,2460125.728778853,2460126.098980652,2460126.119883171,2460126.140097959
2023-07-01,2023-07-01,2460126.7699209945,2460126.749030162,2460126.728828552,2460127.099235635,2460127.1201212076,2460127.140322045
2023-07-02,2023-07-02,2460127.7699239035,2460127.7490522615,2460127.7288659886,2460128.0994998673,2460128.120366716,2460128.1405521687
2023-07-03,2023-07-03,2460128.769911324,2460128.7490605935,2460128.728891059,2460129.099773029,2460129.1206194004,2460129.1407880588
2023-07-04,2023-07-04,2460129.76988323,2460129.7490550987,2460129.728903675,2460130.1000548033,2460130.120878974,2460130.141029452
2023-07-05,2023-07-05,2460130.7698396067,2460130.749035727,2460130.72890376,2460131.100344878,2460131.1211451543,2460131.141276091
2023-07-06,2023-07-06,2460131.769780446,2460131.7490024357,2460131.728891242,2460132.100642937,2460132.1214176565,2460132.1415277175
2023-07-07,2023-07-07,2460132.7697057435,2460132.748955182,2460132.728866049,2460133.1009486527,2460133.1216961876,2460133.141784067
2023-07-08,2023-07-08,2460133.7696154974,2460133.7488939264,2460133.728828111,2460134.101261682,2460134.1219804403,2460134.1420448613
2023-07-09,2023-07-09,2460134.76950971,2460134.748818631,2460134.7287773574,2460135.101581661,2460135.122270089,2460135.142309808
2023-07-10,2023-07-10,2460135.769388391,2460135.748729262,2460135.7287137196,2460136.101908213,2460136.122564799,2460136.142578607
2023-07-11,2023-07-11,2460136.7692515706,2460136.7486258056,2460136.728637147,2460137.102240975,2460137.1228642534,2460137.1428509783
2023-07-12,2023-07-12,2460137.7690993943,2460137.7485083565,2460137.7285476937,2460138.102579949,2460138.123168528,2460138.143127066
2023-07-13,2023-07-13,2460138.7689283593,2460138.748372885,2460138.7284406424,2460139.102921698,2460139.1234741975,2460139.143403433
2023-07-14,2023-07-14,2460139.7687472366,2460139.748230494,2460139.7283281023,2460140.103270784,2460140.1237858236,2460140.143684659
2023-07-15,2023-07-15,2460140.7685485194,2460140.7480719094,2460140.7281990605,2460141.103623751,2460141.1241001026,2460141.143967562
2023-07-16,2023-07-16,2460141.7683358677,2460141.7478991007,2460141.728057623,2460142.10398058,2460142.124414527,2460142.1442521587
2023-07-17,2023-07-17,2460142.7681091926,2460142.7477121446,2460142.727903005,2460143.104336841,2460143.124730669,2460143.144536317
2023-07-18,2023-07-18,2460143.767867373,2460143.7475110693,2460143.72773511,2460144.104695544,2460144.1250487627,2460144.144821231
2023-07-19,2023-07-19,2460144.767610488,2460144.7472959044,2460144.727553926,2460145.105056863,2460145.1253684405,2460145.145106905
2023-07-20,2023-07-20,2460145.7673386293,2460145.7470666906,2460145.72735945,2460146.10542038,2460146.1256893417,2460146.145393025
2023-07-21,2023-07-21,2460146.7670519,2460146.746823481,2460146.727151694,2460147.1057856837,2460147.126011113,2460147.145679285
2023-07-22,2023-07-22,2460147.766750419,2460147.746566343,2460147.726930682,2460148.106152374,2460148.1263334113,2460148.1459653894
2023-07-23,2023-07-23,2460148.76643432,2460148.7462953604,2460148.7266964545,2460149.106520059,2460149.1266559055,2460149.146251055
2023-07-24,2023-07-24,2460149.766103752,2460149.7460106304,2460149.726449066,2460150.1068883594,2460150.1269782754,2460150.146536011
2023-07-25,2023-07-25,2460150.765758881,2460150.7457122672,2460150.7261885866,2460151.107256909,2460151.127300214,2460151.146819999
2023-07-26,2023-07-26,2460151.7653998886,2460151.7454004018,2460151.7259151037,2460152.107625355,2460152.12762143,2460152.1471027764
2023-07-27,2023-07-27,2460152.765026974,2460152.7450751825,2460152.7256287225,2460153.1079933615,2460153.127941648,2460153.1473841183
2023-07-28,2023-07-28,2460153.764640356,2460153.7447367758,2460153.725329566,2460154.108360611,2460154.128260611,2460154.147663816
2023-07-29,2023-07-29,2460154.7642402714,2460154.744385369,2460154.7250177776,2460155.108726807,2460155.1285780827,2460155.147941683
2023-07-30,2023-07-30,2460155.763826978,2460155.7440211684,2460155.724693521,2460156.1090916777,2460156.128893852,2460156.148217556
2023-07-31,2023-07-31,2460156.7634007507,2460156.7436444005,2460156.7243569787,2460157.1094549783,2460157.129207731,2460157.148491297
